field_id,measurement_date,soil_type,crop_type,region,season,soil_moisture_percent,soil_temperature_celsius,ph_level,nitrogen_ppm,phosphorus_ppm,potassium_ppm,organic_matter_percent,electrical_conductivity_ds_per_m,bulk_density_g_per_cm3,rainfall_last_week_mm,avg_humidity_percent,ndvi_vegetation_index,soil_health_score,health_category,recommendations
F0001,2024-04-16,Clay,Wheat,East,Summer,25.99,24.72,7.39,66.18,23.13,170.63,4.29,1.43,1.242,5.4,68.6,0.313,0.759,Good,Maintain current practices
F0002,2025-04-27,Sandy,Corn,Central,Spring,16.31,12.97,6.09,58.74,13.7,238.63,1.69,0.88,1.458,9.1,57.3,0.51,0.68,Good,Apply phosphorus fertilizer; Increase irrigation; Add organic compost
F0003,2024-04-11,Silt,Wheat,North,Spring,34.19,15.7,7.0,45.54,31.58,131.17,3.1,0.1,1.372,15.4,63.3,0.555,0.781,Good,Maintain current practices
F0004,2025-06-27,Sandy,Wheat,Central,Summer,8.34,24.08,6.32,56.75,10.9,192.96,1.61,0.47,1.661,12.7,78.3,0.474,0.662,Good,Apply phosphorus fertilizer; Increase irrigation; Add organic compost
F0005,2025-04-26,Peat,Tomato,South,Winter,78.99,11.95,5.36,58.51,16.15,132.15,12.41,2.05,0.696,7.9,70.4,0.531,0.578,Fair,Add lime to increase pH; Improve drainage; Reduce soil salinity
F0006,2024-08-14,Loam,Wheat,South,Winter,37.19,4.76,7.05,45.7,22.61,183.67,3.21,0.7,1.436,4.2,76.2,0.179,0.804,Excellent,Maintain current practices
F0007,2023-12-14,Loam,Rice,South,Fall,27.75,17.66,6.64,44.11,25.78,218.75,3.85,0.64,1.527,6.6,65.1,0.265,0.823,Excellent,Maintain current practices
F0008,2024-08-18,Clay,Tomato,North,Fall,33.74,8.31,6.96,58.71,28.23,255.45,3.59,1.01,1.293,8.2,39.9,0.309,1.0,Excellent,Maintain current practices
F0009,2025-03-03,Peat,Barley,North,Winter,77.42,2.6,5.49,32.65,34.14,210.08,12.4,0.37,0.941,20.9,50.1,0.215,0.669,Good,Add lime to increase pH; Improve drainage
F0010,2025-06-05,Clay,Tomato,North,Fall,33.49,5.9,7.22,51.5,28.79,143.22,4.27,0.42,1.268,6.2,73.3,0.334,0.955,Excellent,Maintain current practices
F0011,2025-08-22,Peat,Cotton,Central,Summer,37.18,25.37,5.58,66.25,15.1,127.18,12.26,1.04,0.862,18.9,69.4,0.493,0.879,Excellent,Add lime to increase pH
F0012,2023-11-21,Clay,Wheat,South,Fall,36.42,14.62,7.4,37.2,31.3,226.34,3.09,1.62,1.341,3.9,67.2,0.167,0.744,Good,Maintain current practices
F0013,2024-12-08,Sandy,Corn,West,Fall,14.77,14.68,6.08,61.62,25.1,238.14,1.67,4.11,1.504,16.4,48.9,0.372,0.626,Good,Increase irrigation; Add organic compost; Reduce soil salinity
F0014,2024-04-02,Loam,Rice,East,Fall,27.14,12.95,6.78,33.23,12.88,162.14,4.63,0.98,1.275,13.1,91.4,0.309,0.8,Good,Apply phosphorus fertilizer
F0015,2025-02-28,Loam,Corn,Central,Summer,18.57,26.12,7.12,74.43,13.98,142.49,4.46,1.21,1.402,15.3,73.6,0.77,0.863,Excellent,Apply phosphorus fertilizer; Increase irrigation
F0016,2024-06-03,Sandy,Rice,West,Winter,21.45,6.37,6.23,33.82,23.11,160.59,1.84,3.4,1.413,5.9,66.2,0.229,0.7,Good,Add organic compost; Reduce soil salinity
F0017,2024-04-22,Peat,Soybean,East,Spring,72.19,12.84,5.29,47.44,19.16,188.66,12.02,0.48,0.936,14.9,34.6,0.628,0.631,Good,Add lime to increase pH; Improve drainage
F0018,2023-11-07,Clay,Cotton,West,Fall,37.56,12.41,7.17,54.04,31.93,131.99,3.33,0.56,1.235,16.0,84.0,0.618,0.887,Excellent,Maintain current practices
F0019,2024-10-10,Sandy,Cotton,South,Winter,14.94,9.03,6.38,44.34,28.55,210.99,1.34,0.8,1.471,7.7,89.5,0.085,0.704,Good,Increase irrigation; Add organic compost
