latitude,longitude,elevation,date,month,season,soil_moisture,soil_temperature,soil_ph,bulk_density,sand_percentage,silt_percentage,clay_percentage,nitrogen_content,phosphorus_content,potassium_content,organic_matter,electrical_conductivity,air_temperature,relative_humidity,rainfall,solar_radiation,days_since_fertilization,fertilizer_type,irrigation_frequency,crop_rotation,soil_health_index,crop_yield_potential,fertilizer_n_recommendation,fertilizer_p_recommendation,fertilizer_k_recommendation,irrigation_requirement,soil_degradation_risk,cluster_labels
32.5,-100.3,58.4,2024-10-16,10,Fall,27.0,16.0,5.36,0.9,35.8,18.1,46.1,17.1,7.4,154.0,1.28,0.2,21.3,49.2,4.6,14.4,132,NPK,2,Diversified,52.7,1.9,182.9,92.6,0.0,23.0,Medium,3
44.0,-96.3,89.3,2023-04-25,4,Spring,29.8,18.6,6.57,1.4,58.1,23.6,18.3,26.6,23.6,67.3,1.19,1.0,21.4,62.4,43.5,13.9,342,Nitrogen,3,Monoculture,59.9,3.2,173.4,76.4,82.7,20.2,Medium,0
39.6,-77.3,533.3,2023-01-26,1,Winter,23.0,6.0,6.76,1.2,42.5,27.7,29.8,14.6,38.2,50.5,5.56,0.1,4.7,84.0,19.8,7.4,149,NPK,3,Diversified,78.0,3.5,185.4,61.8,99.5,21.6,Low,0
37.0,-103.0,236.5,2023-10-09,10,Fall,16.8,16.4,6.17,1.5,67.9,30.1,2.0,28.3,12.9,33.2,2.14,0.5,20.4,61.8,43.0,15.2,121,,1,Monoculture,53.4,3.4,171.7,87.1,116.8,33.2,Low,3
28.1,-76.5,431.5,2023-09-08,9,Fall,25.9,21.4,8.6,1.1,18.7,38.2,43.2,17.5,6.9,42.9,2.85,0.9,21.5,64.5,51.6,19.8,256,Phosphorus,1,Fallow,58.8,5.1,182.5,93.1,107.1,24.1,Low,3
28.1,-115.6,434.4,2023-08-17,8,Summer,14.2,31.4,9.0,1.4,25.0,56.9,18.1,22.5,4.7,73.2,3.21,1.0,34.6,37.3,189.2,26.7,283,NPK,4,Diversified,49.1,5.1,177.5,95.3,76.8,53.7,Low,1
26.2,-81.2,211.1,2023-05-23,5,Spring,26.4,25.5,5.24,0.9,32.1,43.8,24.2,23.8,11.6,43.1,1.75,0.1,28.8,44.8,41.2,26.4,229,Organic,2,Monoculture,59.5,4.0,176.2,88.4,106.9,23.6,Medium,1
42.3,-77.6,370.4,2023-04-15,4,Spring,21.4,19.0,8.39,1.4,28.6,12.9,58.5,43.9,68.1,72.0,3.06,0.8,23.0,49.7,23.5,15.4,197,Organic,3,Diversified,56.2,2.4,156.1,31.9,78.0,28.6,Low,0
37.0,-110.9,200.5,2024-11-23,11,Fall,27.3,14.5,9.0,1.4,23.9,55.6,20.5,23.0,17.5,67.8,4.11,1.3,19.2,67.5,87.9,20.1,223,NPK,1,Monoculture,65.9,3.6,177.0,82.5,82.2,22.7,Low,3
39.2,-98.5,171.5,2024-07-12,7,Summer,19.1,29.4,9.0,1.1,16.7,22.2,61.1,12.8,7.5,63.1,2.14,0.8,30.8,63.3,65.5,25.0,204,NPK,5,Fallow,48.9,3.9,187.2,92.5,86.9,46.3,Low,1
